stateName,stateCode,stateID,pop1970,pop1980,pop1990,pop2000,pop2010,income1995,income1996,income1997,income1998,income1999,income2000,income2001,income2002,income2003,income2004,income2005,income2006,income2007,income2008,income2009,income2010,income2011,income2012,income2013,income2014,income2015
Alabama,AL,1,3444165,3893888,4040587,4447100,4779736,39448,44798,46220,51759,50680,47918,46262,48690,47186,45172,44329,43848,47424,48119,43420,43733,44112,44096,41381,41415,41415
Alaska,AK,2,300382,401851,550043,626932,710231,72782,78028,69453,72348,71854,71487,75476,68335,65655,67906,66691,65183,70771,69230,66904,61804,59483,64573,61137,69825,69825
Arizona,AZ,4,1770900,2718215,3665228,5130632,6392017,46842,46772,47379,52935,51720,53815,56189,51450,52140,54073,53988,53905,53045,50757,49674,50103,50358,47728,50602,46709,46709
Arkansas,AR,5,1923295,2286435,2350725,2673400,2915918,39179,40098,37860,39484,41497,40171,43866,41936,40533,43144,43742,42814,45832,42828,39681,41226,42778,39585,39919,38758,38758
California,CA,6,19953134,23667902,29760021,33871648,37253956,56170,57379,57442,58421,60995,63328,62186,61424,62442,60702,61756,63913,62616,61684,60963,57996,55274,57849,57528,60287,60287
Colorado,CO,8,2207259,2889964,3294394,4301261,5029196,61781,60540,62563,66506,67353,65255,64995,62534,63252,62755,60197,64350,68691,65935,60742,64353,60724,58087,63371,55387,55387
Connecticut,CT,9,3031709,3107576,3287116,3405565,3574097,61079,62268,63652,66376,70731,67868,70192,69128,69617,67951,67817,72099,72061,69980,70430,70512,67752,65181,67781,65753,65753
Delaware,DE,10,548104,594338,666168,783600,897934,53012,58114,62274,59169,65188,68129,65265,64289,62086,59256,61135,60584,61330,54855,56597,58990,56613,49684,52219,57954,57954
District of Columbia,DC,11,756510,638333,606900,572059,601723,46668,47258,46105,47716,54062,55761,54169,50590,57051,53585,53687,56008,57054,60143,57713,60822,57225,66194,60675,65124,65124
Florida,FL,12,6789443,9746324,12937926,15982378,18801310,45145,45299,46966,49822,50093,52561,47922,49235,49361,49989,51297,52772,51449,48531,49557,47080,46716,46740,47886,44299,44299
